iteration,storage,timestep,charge,discharge
233,battery,1,9.999999999999988,1.2519016519499875e-14
233,battery,2,1.8134221181002492e-14,9.99999999999998
234,battery,1,9.999999999999986,1.3535151622828587e-14
234,battery,2,1.960088582166805e-14,9.999999999999979
235,battery,1,9.999999999999984,1.45994350272579e-14
235,battery,2,2.1152256032267782e-14,9.999999999999977
236,battery,1,9.999999999999984,1.5718126409906318e-14
236,battery,2,2.2769557800282133e-14,9.999999999999975
237,battery,1,9.999999999999982,1.6887675182500976e-14
237,battery,2,2.4461556054847948e-14,9.999999999999973
238,battery,1,9.99999999999998,1.8103876592780202e-14
238,battery,2,2.6237827501921716e-14,9.999999999999972
239,battery,1,9.99999999999998,1.93727609621191e-14
239,battery,2,2.8076533010141626e-14,9.99999999999997
240,battery,1,9.999999999999979,2.068960507226925e-14
240,battery,2,2.998607030787423e-14,9.999999999999968
241,battery,1,9.999999999999977,2.2052864950201798e-14
241,battery,2,3.196430706918109e-14,9.999999999999966
242,battery,1,9.999999999999975,2.3460654883263528e-14
242,battery,2,3.400860400783807e-14,9.999999999999964
243,battery,1,9.999999999999973,2.49106788481853e-14
243,battery,2,3.611571611580235e-14,9.999999999999961
244,battery,1,9.999999999999972,2.640238145534065e-14
244,battery,2,3.8275685139723374e-14,9.99999999999996
245,battery,1,9.999999999999972,2.7932838497083718e-14
245,battery,2,4.048369626687448e-14,9.999999999999957
246,battery,1,9.99999999999997,2.9490138708652024e-14
246,battery,2,4.276031084418383e-14,9.999999999999954
247,battery,1,9.999999999999968,3.1080839790621023e-14
247,battery,2,4.506779405594986e-14,9.999999999999952
248,battery,1,9.999999999999966,3.269628926870272e-14
248,battery,2,4.741239050724446e-14,9.99999999999995
249,battery,1,9.999999999999964,3.4340995723480075e-14
249,battery,2,4.976983994666374e-14,9.999999999999947
250,battery,1,9.999999999999963,3.6045655602562897e-14
250,battery,2,5.224537327703818e-14,9.999999999999945
251,battery,1,9.999999999999961,3.777630436456009e-14
251,battery,2,5.475956052696402e-14,9.999999999999941
252,battery,1,9.99999999999996,3.981699442024511e-14
252,battery,2,5.6750875393702667e-14,9.99999999999994
253,battery,1,9.999999999999957,4.1297965224151196e-14
253,battery,2,5.989996150827927e-14,9.999999999999936
254,battery,1,9.999999999999954,4.343959688657198e-14
254,battery,2,6.181355475999079e-14,9.999999999999934
255,battery,1,9.999999999999954,4.49423558358551e-14
255,battery,2,6.502633212788327e-14,9.99999999999993
256,battery,1,9.999999999999952,4.673241437259587e-14
256,battery,2,6.768409849230532e-14,9.999999999999927
257,battery,1,9.999999999999948,4.862750870835891e-14
257,battery,2,7.015588657241168e-14,9.999999999999925
258,battery,1,9.999999999999947,5.027652883030474e-14
258,battery,2,7.31005073003819e-14,9.999999999999922
259,battery,1,9.999999999999947,5.186284235636987e-14
259,battery,2,7.615578628034232e-14,9.999999999999918
260,battery,1,9.999999999999945,5.336432741497173e-14
260,battery,2,7.932023115710499e-14,9.999999999999915
261,battery,1,9.999999999999943,5.4780652247108297e-14
261,battery,2,8.26402418642896e-14,9.999999999999911
262,battery,1,9.99999999999994,5.781889289046869e-14
262,battery,2,8.36685862890736e-14,9.999999999999911
263,battery,1,9.999999999999938,5.999690300857784e-14
263,battery,2,8.657616320061272e-14,9.999999999999908
